similarity,combination
4,['BasicTokenMock.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
8,['BasicTokenMock.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
11,['BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
12,['BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
9,['BasicTokenMock.sol', 'StandardToken.sol', 'Token223.sol']
5,['BasicTokenMock.sol', 'ERC223.sol', 'LinkToken.sol']
1,['BasicTokenMock.sol', 'ERC223.sol', 'ERC223Receiver.sol']
1,['BasicTokenMock.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
7,['BasicTokenMock.sol', 'ERC223.sol', 'BasicToken.sol']
2,['BasicTokenMock.sol', 'ERC223.sol', 'ERC20.sol']
2,['BasicTokenMock.sol', 'ERC223.sol', 'Token223.sol']
3,['BasicTokenMock.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
2,['BasicTokenMock.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
5,['BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
6,['BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
3,['BasicTokenMock.sol', 'LinkToken.sol', 'Token223.sol']
2,['BasicTokenMock.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
6,['BasicTokenMock.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
3,['BasicTokenMock.sol', 'ERC223Receiver.sol', 'ERC20.sol']
1,['BasicTokenMock.sol', 'ERC223Receiver.sol', 'Token223.sol']
5,['BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
6,['BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
3,['BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
6,['BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
3,['BasicTokenMock.sol', 'BasicToken.sol', 'Token223.sol']
6,['BasicTokenMock.sol', 'ERC20.sol', 'Token223.sol']
4,['StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol']
