similarity,combination
18,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'Token677.sol']
18,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'ERC20.sol']
21,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
24,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token677.sol']
22,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'NotERC677Compatible.sol', 'Token677.sol']
11,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'Token677.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
9,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token677.sol', 'ERC20.sol']
11,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
11,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
20,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol']
21,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'NotERC677Compatible.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token677.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'Token677.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol', 'Token677.sol']
7,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'Token677.sol']
4,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
9,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token677.sol', 'ERC20.sol']
19,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol']
21,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
18,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
20,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'NotERC677Compatible.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
