similarity,combination
11,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'linkERC20Basic.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'LinkToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'linkStandardToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'NotERC677Compatible.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Token677.sol']
44,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'flattened.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'Migrations.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'Token677.sol']
42,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'flattened.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'Migrations.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'Token677.sol']
40,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'flattened.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Migrations.sol', 'linkBasicToken.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Migrations.sol', 'ERC677Receiver.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Migrations.sol', 'linkERC20Basic.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Migrations.sol', 'LinkToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Migrations.sol', 'linkStandardToken.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Migrations.sol', 'Token677.sol']
39,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Migrations.sol', 'flattened.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
33,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'flattened.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'LinkToken.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'Token677.sol']
30,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'flattened.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'Token677.sol']
38,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'flattened.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'Token677.sol']
40,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'flattened.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'LinkToken.sol', 'linkStandardToken.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'LinkToken.sol', 'Token677.sol']
