similarity,combination
2,['vow.t.sol', 'flop.t.sol', 'flap.t.sol']
2,['vow.t.sol', 'flop.t.sol', 'vat.t.sol']
4,['vow.t.sol', 'flop.t.sol', 'lib.sol']
3,['vow.t.sol', 'flop.t.sol', 'jug.t.sol']
4,['vow.t.sol', 'flop.t.sol', 'flap.sol']
5,['vow.t.sol', 'flop.t.sol', 'end.sol']
3,['vow.t.sol', 'flop.t.sol', 'dai.t.sol']
6,['vow.t.sol', 'jug.sol', 'cat.sol']
7,['vow.t.sol', 'jug.sol', 'dai.sol']
5,['vow.t.sol', 'jug.sol', 'fork.t.sol']
6,['vow.t.sol', 'jug.sol', 'flap.t.sol']
2,['vow.t.sol', 'jug.sol', 'vat.t.sol']
7,['vow.t.sol', 'jug.sol', 'lib.sol']
4,['vow.t.sol', 'jug.sol', 'jug.t.sol']
5,['vow.t.sol', 'jug.sol', 'flap.sol']
5,['vow.t.sol', 'jug.sol', 'end.sol']
4,['vow.t.sol', 'jug.sol', 'dai.t.sol']
8,['vow.t.sol', 'cat.sol', 'dai.sol']
5,['vow.t.sol', 'cat.sol', 'fork.t.sol']
5,['vow.t.sol', 'cat.sol', 'flap.t.sol']
2,['vow.t.sol', 'cat.sol', 'vat.t.sol']
7,['vow.t.sol', 'cat.sol', 'lib.sol']
5,['vow.t.sol', 'cat.sol', 'jug.t.sol']
5,['vow.t.sol', 'cat.sol', 'flap.sol']
3,['vow.t.sol', 'cat.sol', 'end.sol']
2,['vow.t.sol', 'cat.sol', 'dai.t.sol']
7,['vow.t.sol', 'dai.sol', 'fork.t.sol']
9,['vow.t.sol', 'dai.sol', 'flap.t.sol']
4,['vow.t.sol', 'dai.sol', 'vat.t.sol']
16,['vow.t.sol', 'dai.sol', 'lib.sol']
5,['vow.t.sol', 'dai.sol', 'jug.t.sol']
6,['vow.t.sol', 'dai.sol', 'flap.sol']
5,['vow.t.sol', 'dai.sol', 'end.sol']
7,['vow.t.sol', 'dai.sol', 'dai.t.sol']
3,['vow.t.sol', 'fork.t.sol', 'flap.t.sol']
2,['vow.t.sol', 'fork.t.sol', 'vat.t.sol']
4,['vow.t.sol', 'fork.t.sol', 'lib.sol']
3,['vow.t.sol', 'fork.t.sol', 'jug.t.sol']
5,['vow.t.sol', 'fork.t.sol', 'flap.sol']
5,['vow.t.sol', 'fork.t.sol', 'end.sol']
2,['vow.t.sol', 'fork.t.sol', 'dai.t.sol']
2,['vow.t.sol', 'flap.t.sol', 'vat.t.sol']
4,['vow.t.sol', 'flap.t.sol', 'lib.sol']
3,['vow.t.sol', 'flap.t.sol', 'jug.t.sol']
4,['vow.t.sol', 'flap.t.sol', 'flap.sol']
4,['vow.t.sol', 'flap.t.sol', 'end.sol']
2,['vow.t.sol', 'flap.t.sol', 'dai.t.sol']
2,['vow.t.sol', 'vat.t.sol', 'lib.sol']
2,['vow.t.sol', 'vat.t.sol', 'jug.t.sol']
3,['vow.t.sol', 'vat.t.sol', 'flap.sol']
3,['vow.t.sol', 'vat.t.sol', 'end.sol']
2,['vow.t.sol', 'vat.t.sol', 'dai.t.sol']
4,['vow.t.sol', 'lib.sol', 'jug.t.sol']
5,['vow.t.sol', 'lib.sol', 'flap.sol']
6,['vow.t.sol', 'lib.sol', 'end.sol']
2,['vow.t.sol', 'lib.sol', 'dai.t.sol']
4,['vow.t.sol', 'jug.t.sol', 'flap.sol']
3,['vow.t.sol', 'jug.t.sol', 'end.sol']
1,['vow.t.sol', 'jug.t.sol', 'dai.t.sol']
4,['vow.t.sol', 'flap.sol', 'end.sol']
5,['vow.t.sol', 'flap.sol', 'dai.t.sol']
3,['vow.t.sol', 'end.sol', 'dai.t.sol']
6,['join.sol', 'flip.sol', 'vow.sol']
4,['join.sol', 'flip.sol', 'flip.t.sol']
3,['join.sol', 'flip.sol', 'end.t.sol']
6,['join.sol', 'flip.sol', 'vat.sol']
6,['join.sol', 'flip.sol', 'flop.t.sol']
5,['join.sol', 'flip.sol', 'jug.sol']
5,['join.sol', 'flip.sol', 'cat.sol']
13,['join.sol', 'flip.sol', 'dai.sol']
5,['join.sol', 'flip.sol', 'fork.t.sol']
7,['join.sol', 'flip.sol', 'flap.t.sol']
4,['join.sol', 'flip.sol', 'vat.t.sol']
8,['join.sol', 'flip.sol', 'lib.sol']
6,['join.sol', 'flip.sol', 'jug.t.sol']
6,['join.sol', 'flip.sol', 'flap.sol']
3,['join.sol', 'flip.sol', 'end.sol']
5,['join.sol', 'flip.sol', 'dai.t.sol']
4,['join.sol', 'vow.sol', 'flip.t.sol']
3,['join.sol', 'vow.sol', 'end.t.sol']
5,['join.sol', 'vow.sol', 'vat.sol']
5,['join.sol', 'vow.sol', 'flop.t.sol']
5,['join.sol', 'vow.sol', 'jug.sol']
5,['join.sol', 'vow.sol', 'cat.sol']
11,['join.sol', 'vow.sol', 'dai.sol']
5,['join.sol', 'vow.sol', 'fork.t.sol']
6,['join.sol', 'vow.sol', 'flap.t.sol']
3,['join.sol', 'vow.sol', 'vat.t.sol']
7,['join.sol', 'vow.sol', 'lib.sol']
5,['join.sol', 'vow.sol', 'jug.t.sol']
7,['join.sol', 'vow.sol', 'flap.sol']
5,['join.sol', 'vow.sol', 'end.sol']
7,['join.sol', 'vow.sol', 'dai.t.sol']
2,['join.sol', 'flip.t.sol', 'end.t.sol']
4,['join.sol', 'flip.t.sol', 'vat.sol']
2,['join.sol', 'flip.t.sol', 'flop.t.sol']
3,['join.sol', 'flip.t.sol', 'jug.sol']
4,['join.sol', 'flip.t.sol', 'cat.sol']
14,['join.sol', 'flip.t.sol', 'dai.sol']
2,['join.sol', 'flip.t.sol', 'fork.t.sol']
2,['join.sol', 'flip.t.sol', 'flap.t.sol']
2,['join.sol', 'flip.t.sol', 'vat.t.sol']
3,['join.sol', 'flip.t.sol', 'lib.sol']
2,['join.sol', 'flip.t.sol', 'jug.t.sol']
4,['join.sol', 'flip.t.sol', 'flap.sol']
4,['join.sol', 'flip.t.sol', 'end.sol']
5,['join.sol', 'flip.t.sol', 'dai.t.sol']
3,['join.sol', 'end.t.sol', 'vat.sol']
2,['join.sol', 'end.t.sol', 'flop.t.sol']
3,['join.sol', 'end.t.sol', 'jug.sol']
3,['join.sol', 'end.t.sol', 'cat.sol']
4,['join.sol', 'end.t.sol', 'dai.sol']
2,['join.sol', 'end.t.sol', 'fork.t.sol']
2,['join.sol', 'end.t.sol', 'flap.t.sol']
1,['join.sol', 'end.t.sol', 'vat.t.sol']
2,['join.sol', 'end.t.sol', 'lib.sol']
2,['join.sol', 'end.t.sol', 'jug.t.sol']
3,['join.sol', 'end.t.sol', 'flap.sol']
3,['join.sol', 'end.t.sol', 'end.sol']
3,['join.sol', 'end.t.sol', 'dai.t.sol']
6,['join.sol', 'vat.sol', 'flop.t.sol']
6,['join.sol', 'vat.sol', 'jug.sol']
5,['join.sol', 'vat.sol', 'cat.sol']
9,['join.sol', 'vat.sol', 'dai.sol']
6,['join.sol', 'vat.sol', 'fork.t.sol']
6,['join.sol', 'vat.sol', 'flap.t.sol']
3,['join.sol', 'vat.sol', 'vat.t.sol']
7,['join.sol', 'vat.sol', 'lib.sol']
6,['join.sol', 'vat.sol', 'jug.t.sol']
6,['join.sol', 'vat.sol', 'flap.sol']
4,['join.sol', 'vat.sol', 'end.sol']
3,['join.sol', 'vat.sol', 'dai.t.sol']
4,['join.sol', 'flop.t.sol', 'jug.sol']
5,['join.sol', 'flop.t.sol', 'cat.sol']
14,['join.sol', 'flop.t.sol', 'dai.sol']
4,['join.sol', 'flop.t.sol', 'fork.t.sol']
3,['join.sol', 'flop.t.sol', 'flap.t.sol']
2,['join.sol', 'flop.t.sol', 'vat.t.sol']
5,['join.sol', 'flop.t.sol', 'lib.sol']
3,['join.sol', 'flop.t.sol', 'jug.t.sol']
7,['join.sol', 'flop.t.sol', 'flap.sol']
5,['join.sol', 'flop.t.sol', 'end.sol']
6,['join.sol', 'flop.t.sol', 'dai.t.sol']
4,['join.sol', 'jug.sol', 'cat.sol']
11,['join.sol', 'jug.sol', 'dai.sol']
3,['join.sol', 'jug.sol', 'fork.t.sol']
4,['join.sol', 'jug.sol', 'flap.t.sol']
2,['join.sol', 'jug.sol', 'vat.t.sol']
5,['join.sol', 'jug.sol', 'lib.sol']
2,['join.sol', 'jug.sol', 'jug.t.sol']
6,['join.sol', 'jug.sol', 'flap.sol']
4,['join.sol', 'jug.sol', 'end.sol']
4,['join.sol', 'jug.sol', 'dai.t.sol']
13,['join.sol', 'cat.sol', 'dai.sol']
5,['join.sol', 'cat.sol', 'fork.t.sol']
5,['join.sol', 'cat.sol', 'flap.t.sol']
2,['join.sol', 'cat.sol', 'vat.t.sol']
5,['join.sol', 'cat.sol', 'lib.sol']
4,['join.sol', 'cat.sol', 'jug.t.sol']
5,['join.sol', 'cat.sol', 'flap.sol']
3,['join.sol', 'cat.sol', 'end.sol']
4,['join.sol', 'cat.sol', 'dai.t.sol']
11,['join.sol', 'dai.sol', 'fork.t.sol']
14,['join.sol', 'dai.sol', 'flap.t.sol']
4,['join.sol', 'dai.sol', 'vat.t.sol']
27,['join.sol', 'dai.sol', 'lib.sol']
6,['join.sol', 'dai.sol', 'jug.t.sol']
14,['join.sol', 'dai.sol', 'flap.sol']
8,['join.sol', 'dai.sol', 'end.sol']
6,['join.sol', 'dai.sol', 'dai.t.sol']
4,['join.sol', 'fork.t.sol', 'flap.t.sol']
2,['join.sol', 'fork.t.sol', 'vat.t.sol']
4,['join.sol', 'fork.t.sol', 'lib.sol']
3,['join.sol', 'fork.t.sol', 'jug.t.sol']
6,['join.sol', 'fork.t.sol', 'flap.sol']
5,['join.sol', 'fork.t.sol', 'end.sol']
4,['join.sol', 'fork.t.sol', 'dai.t.sol']
2,['join.sol', 'flap.t.sol', 'vat.t.sol']
5,['join.sol', 'flap.t.sol', 'lib.sol']
3,['join.sol', 'flap.t.sol', 'jug.t.sol']
6,['join.sol', 'flap.t.sol', 'flap.sol']
5,['join.sol', 'flap.t.sol', 'end.sol']
6,['join.sol', 'flap.t.sol', 'dai.t.sol']
2,['join.sol', 'vat.t.sol', 'lib.sol']
2,['join.sol', 'vat.t.sol', 'jug.t.sol']
4,['join.sol', 'vat.t.sol', 'flap.sol']
3,['join.sol', 'vat.t.sol', 'end.sol']
1,['join.sol', 'vat.t.sol', 'dai.t.sol']
2,['join.sol', 'lib.sol', 'jug.t.sol']
8,['join.sol', 'lib.sol', 'flap.sol']
5,['join.sol', 'lib.sol', 'end.sol']
3,['join.sol', 'lib.sol', 'dai.t.sol']
6,['join.sol', 'jug.t.sol', 'flap.sol']
2,['join.sol', 'jug.t.sol', 'end.sol']
1,['join.sol', 'jug.t.sol', 'dai.t.sol']
3,['join.sol', 'flap.sol', 'end.sol']
5,['join.sol', 'flap.sol', 'dai.t.sol']
4,['join.sol', 'end.sol', 'dai.t.sol']
4,['flip.sol', 'vow.sol', 'flip.t.sol']
3,['flip.sol', 'vow.sol', 'end.t.sol']
5,['flip.sol', 'vow.sol', 'vat.sol']
4,['flip.sol', 'vow.sol', 'flop.t.sol']
4,['flip.sol', 'vow.sol', 'jug.sol']
4,['flip.sol', 'vow.sol', 'cat.sol']
11,['flip.sol', 'vow.sol', 'dai.sol']
4,['flip.sol', 'vow.sol', 'fork.t.sol']
5,['flip.sol', 'vow.sol', 'flap.t.sol']
3,['flip.sol', 'vow.sol', 'vat.t.sol']
7,['flip.sol', 'vow.sol', 'lib.sol']
5,['flip.sol', 'vow.sol', 'jug.t.sol']
5,['flip.sol', 'vow.sol', 'flap.sol']
3,['flip.sol', 'vow.sol', 'end.sol']
5,['flip.sol', 'vow.sol', 'dai.t.sol']
2,['flip.sol', 'flip.t.sol', 'end.t.sol']
4,['flip.sol', 'flip.t.sol', 'vat.sol']
3,['flip.sol', 'flip.t.sol', 'flop.t.sol']
4,['flip.sol', 'flip.t.sol', 'jug.sol']
4,['flip.sol', 'flip.t.sol', 'cat.sol']
13,['flip.sol', 'flip.t.sol', 'dai.sol']
4,['flip.sol', 'flip.t.sol', 'fork.t.sol']
3,['flip.sol', 'flip.t.sol', 'flap.t.sol']
3,['flip.sol', 'flip.t.sol', 'vat.t.sol']
6,['flip.sol', 'flip.t.sol', 'lib.sol']
3,['flip.sol', 'flip.t.sol', 'jug.t.sol']
4,['flip.sol', 'flip.t.sol', 'flap.sol']
3,['flip.sol', 'flip.t.sol', 'end.sol']
6,['flip.sol', 'flip.t.sol', 'dai.t.sol']
4,['flip.sol', 'end.t.sol', 'vat.sol']
3,['flip.sol', 'end.t.sol', 'flop.t.sol']
3,['flip.sol', 'end.t.sol', 'jug.sol']
3,['flip.sol', 'end.t.sol', 'cat.sol']
4,['flip.sol', 'end.t.sol', 'dai.sol']
3,['flip.sol', 'end.t.sol', 'fork.t.sol']
3,['flip.sol', 'end.t.sol', 'flap.t.sol']
3,['flip.sol', 'end.t.sol', 'vat.t.sol']
3,['flip.sol', 'end.t.sol', 'lib.sol']
3,['flip.sol', 'end.t.sol', 'jug.t.sol']
3,['flip.sol', 'end.t.sol', 'flap.sol']
