similarity,combination
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'jug.sol', 'cat.sol']
3,['flop.sol', 'vow.t.sol', 'pit.sol', 'jug.sol', 'flap.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'jug.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'jug.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'jug.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'cat.sol', 'flap.t.sol']
1,['flop.sol', 'vow.t.sol', 'pit.sol', 'cat.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'cat.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'cat.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'flap.t.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'flap.t.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'flap.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'pit.sol', 'vat.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'pit.sol', 'vat.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'jug.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'vat.sol', 'flop.t.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'vat.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'vat.sol', 'cat.sol']
3,['flop.sol', 'vow.t.sol', 'move.sol', 'vat.sol', 'flap.t.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'vat.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'vat.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'vat.sol', 'flap.sol']
4,['flop.sol', 'vow.t.sol', 'move.sol', 'flop.t.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'flop.t.sol', 'cat.sol']
3,['flop.sol', 'vow.t.sol', 'move.sol', 'flop.t.sol', 'flap.t.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'flop.t.sol', 'vat.t.sol']
3,['flop.sol', 'vow.t.sol', 'move.sol', 'flop.t.sol', 'jug.t.sol']
3,['flop.sol', 'vow.t.sol', 'move.sol', 'flop.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'jug.sol', 'cat.sol']
3,['flop.sol', 'vow.t.sol', 'move.sol', 'jug.sol', 'flap.t.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'jug.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'jug.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'jug.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'cat.sol', 'flap.t.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'cat.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'cat.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'cat.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'flap.t.sol', 'vat.t.sol']
3,['flop.sol', 'vow.t.sol', 'move.sol', 'flap.t.sol', 'jug.t.sol']
3,['flop.sol', 'vow.t.sol', 'move.sol', 'flap.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'vat.t.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'move.sol', 'vat.t.sol', 'flap.sol']
