similarity,combination
7,['ERC677Token.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'Token677.sol']
35,['ERC677Token.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'flattened.sol']
14,['ERC677Token.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
15,['ERC677Token.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
12,['ERC677Token.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
5,['ERC677Token.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'Token677.sol']
45,['ERC677Token.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'flattened.sol']
19,['ERC677Token.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
20,['ERC677Token.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
8,['ERC677Token.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
9,['ERC677Token.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'Token677.sol']
47,['ERC677Token.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'flattened.sol']
19,['ERC677Token.sol', 'linkERC20.sol', 'LinkToken.sol', 'linkStandardToken.sol']
13,['ERC677Token.sol', 'linkERC20.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
14,['ERC677Token.sol', 'linkERC20.sol', 'LinkToken.sol', 'Token677.sol']
35,['ERC677Token.sol', 'linkERC20.sol', 'LinkToken.sol', 'flattened.sol']
11,['ERC677Token.sol', 'linkERC20.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
12,['ERC677Token.sol', 'linkERC20.sol', 'linkStandardToken.sol', 'Token677.sol']
32,['ERC677Token.sol', 'linkERC20.sol', 'linkStandardToken.sol', 'flattened.sol']
