similarity,combination
2,['join.sol', 'cat.sol', 'vat.t.sol']
4,['join.sol', 'cat.sol', 'jug.t.sol']
6,['join.sol', 'cat.sol', 'flap.sol']
4,['join.sol', 'fork.t.sol', 'flap.t.sol']
2,['join.sol', 'fork.t.sol', 'vat.t.sol']
3,['join.sol', 'fork.t.sol', 'jug.t.sol']
5,['join.sol', 'fork.t.sol', 'flap.sol']
2,['join.sol', 'flap.t.sol', 'vat.t.sol']
3,['join.sol', 'flap.t.sol', 'jug.t.sol']
6,['join.sol', 'flap.t.sol', 'flap.sol']
2,['join.sol', 'vat.t.sol', 'jug.t.sol']
4,['join.sol', 'vat.t.sol', 'flap.sol']
5,['join.sol', 'jug.t.sol', 'flap.sol']
4,['flip.sol', 'vow.sol', 'flip.t.sol']
3,['flip.sol', 'vow.sol', 'vat.sol']
4,['flip.sol', 'vow.sol', 'flop.t.sol']
4,['flip.sol', 'vow.sol', 'jug.sol']
5,['flip.sol', 'vow.sol', 'cat.sol']
5,['flip.sol', 'vow.sol', 'fork.t.sol']
5,['flip.sol', 'vow.sol', 'flap.t.sol']
3,['flip.sol', 'vow.sol', 'vat.t.sol']
5,['flip.sol', 'vow.sol', 'jug.t.sol']
5,['flip.sol', 'vow.sol', 'flap.sol']
3,['flip.sol', 'flip.t.sol', 'vat.sol']
4,['flip.sol', 'flip.t.sol', 'flop.t.sol']
4,['flip.sol', 'flip.t.sol', 'jug.sol']
4,['flip.sol', 'flip.t.sol', 'cat.sol']
4,['flip.sol', 'flip.t.sol', 'fork.t.sol']
4,['flip.sol', 'flip.t.sol', 'flap.t.sol']
3,['flip.sol', 'flip.t.sol', 'vat.t.sol']
4,['flip.sol', 'flip.t.sol', 'jug.t.sol']
4,['flip.sol', 'flip.t.sol', 'flap.sol']
4,['flip.sol', 'vat.sol', 'flop.t.sol']
4,['flip.sol', 'vat.sol', 'jug.sol']
2,['flip.sol', 'vat.sol', 'cat.sol']
4,['flip.sol', 'vat.sol', 'fork.t.sol']
4,['flip.sol', 'vat.sol', 'flap.t.sol']
3,['flip.sol', 'vat.sol', 'vat.t.sol']
4,['flip.sol', 'vat.sol', 'jug.t.sol']
4,['flip.sol', 'vat.sol', 'flap.sol']
5,['flip.sol', 'flop.t.sol', 'jug.sol']
5,['flip.sol', 'flop.t.sol', 'cat.sol']
5,['flip.sol', 'flop.t.sol', 'fork.t.sol']
4,['flip.sol', 'flop.t.sol', 'flap.t.sol']
3,['flip.sol', 'flop.t.sol', 'vat.t.sol']
5,['flip.sol', 'flop.t.sol', 'jug.t.sol']
5,['flip.sol', 'flop.t.sol', 'flap.sol']
2,['flip.sol', 'jug.sol', 'cat.sol']
5,['flip.sol', 'jug.sol', 'fork.t.sol']
4,['flip.sol', 'jug.sol', 'flap.t.sol']
3,['flip.sol', 'jug.sol', 'vat.t.sol']
3,['flip.sol', 'jug.sol', 'jug.t.sol']
5,['flip.sol', 'jug.sol', 'flap.sol']
4,['flip.sol', 'cat.sol', 'fork.t.sol']
4,['flip.sol', 'cat.sol', 'flap.t.sol']
2,['flip.sol', 'cat.sol', 'vat.t.sol']
3,['flip.sol', 'cat.sol', 'jug.t.sol']
5,['flip.sol', 'cat.sol', 'flap.sol']
5,['flip.sol', 'fork.t.sol', 'flap.t.sol']
3,['flip.sol', 'fork.t.sol', 'vat.t.sol']
5,['flip.sol', 'fork.t.sol', 'jug.t.sol']
5,['flip.sol', 'fork.t.sol', 'flap.sol']
3,['flip.sol', 'flap.t.sol', 'vat.t.sol']
5,['flip.sol', 'flap.t.sol', 'jug.t.sol']
5,['flip.sol', 'flap.t.sol', 'flap.sol']
2,['flip.sol', 'vat.t.sol', 'jug.t.sol']
3,['flip.sol', 'vat.t.sol', 'flap.sol']
6,['flip.sol', 'jug.t.sol', 'flap.sol']
3,['vow.sol', 'flip.t.sol', 'vat.sol']
3,['vow.sol', 'flip.t.sol', 'flop.t.sol']
4,['vow.sol', 'flip.t.sol', 'jug.sol']
4,['vow.sol', 'flip.t.sol', 'cat.sol']
3,['vow.sol', 'flip.t.sol', 'fork.t.sol']
3,['vow.sol', 'flip.t.sol', 'flap.t.sol']
2,['vow.sol', 'flip.t.sol', 'vat.t.sol']
3,['vow.sol', 'flip.t.sol', 'jug.t.sol']
4,['vow.sol', 'flip.t.sol', 'flap.sol']
4,['vow.sol', 'vat.sol', 'flop.t.sol']
4,['vow.sol', 'vat.sol', 'jug.sol']
3,['vow.sol', 'vat.sol', 'cat.sol']
4,['vow.sol', 'vat.sol', 'fork.t.sol']
4,['vow.sol', 'vat.sol', 'flap.t.sol']
2,['vow.sol', 'vat.sol', 'vat.t.sol']
5,['vow.sol', 'vat.sol', 'jug.t.sol']
4,['vow.sol', 'vat.sol', 'flap.sol']
5,['vow.sol', 'flop.t.sol', 'jug.sol']
5,['vow.sol', 'flop.t.sol', 'cat.sol']
5,['vow.sol', 'flop.t.sol', 'fork.t.sol']
3,['vow.sol', 'flop.t.sol', 'flap.t.sol']
2,['vow.sol', 'flop.t.sol', 'vat.t.sol']
5,['vow.sol', 'flop.t.sol', 'jug.t.sol']
5,['vow.sol', 'flop.t.sol', 'flap.sol']
5,['vow.sol', 'jug.sol', 'cat.sol']
5,['vow.sol', 'jug.sol', 'fork.t.sol']
5,['vow.sol', 'jug.sol', 'flap.t.sol']
2,['vow.sol', 'jug.sol', 'vat.t.sol']
5,['vow.sol', 'jug.sol', 'jug.t.sol']
4,['vow.sol', 'jug.sol', 'flap.sol']
5,['vow.sol', 'cat.sol', 'fork.t.sol']
5,['vow.sol', 'cat.sol', 'flap.t.sol']
2,['vow.sol', 'cat.sol', 'vat.t.sol']
3,['vow.sol', 'cat.sol', 'jug.t.sol']
4,['vow.sol', 'cat.sol', 'flap.sol']
5,['vow.sol', 'fork.t.sol', 'flap.t.sol']
2,['vow.sol', 'fork.t.sol', 'vat.t.sol']
4,['vow.sol', 'fork.t.sol', 'jug.t.sol']
5,['vow.sol', 'fork.t.sol', 'flap.sol']
2,['vow.sol', 'flap.t.sol', 'vat.t.sol']
5,['vow.sol', 'flap.t.sol', 'jug.t.sol']
4,['vow.sol', 'flap.t.sol', 'flap.sol']
2,['vow.sol', 'vat.t.sol', 'jug.t.sol']
4,['vow.sol', 'vat.t.sol', 'flap.sol']
5,['vow.sol', 'jug.t.sol', 'flap.sol']
3,['flip.t.sol', 'vat.sol', 'flop.t.sol']
4,['flip.t.sol', 'vat.sol', 'jug.sol']
3,['flip.t.sol', 'vat.sol', 'cat.sol']
4,['flip.t.sol', 'vat.sol', 'fork.t.sol']
3,['flip.t.sol', 'vat.sol', 'flap.t.sol']
3,['flip.t.sol', 'vat.sol', 'vat.t.sol']
3,['flip.t.sol', 'vat.sol', 'jug.t.sol']
3,['flip.t.sol', 'vat.sol', 'flap.sol']
3,['flip.t.sol', 'flop.t.sol', 'jug.sol']
4,['flip.t.sol', 'flop.t.sol', 'cat.sol']
3,['flip.t.sol', 'flop.t.sol', 'fork.t.sol']
2,['flip.t.sol', 'flop.t.sol', 'flap.t.sol']
2,['flip.t.sol', 'flop.t.sol', 'vat.t.sol']
4,['flip.t.sol', 'flop.t.sol', 'jug.t.sol']
4,['flip.t.sol', 'flop.t.sol', 'flap.sol']
4,['flip.t.sol', 'jug.sol', 'cat.sol']
3,['flip.t.sol', 'jug.sol', 'fork.t.sol']
3,['flip.t.sol', 'jug.sol', 'flap.t.sol']
2,['flip.t.sol', 'jug.sol', 'vat.t.sol']
3,['flip.t.sol', 'jug.sol', 'jug.t.sol']
4,['flip.t.sol', 'jug.sol', 'flap.sol']
4,['flip.t.sol', 'cat.sol', 'fork.t.sol']
3,['flip.t.sol', 'cat.sol', 'flap.t.sol']
2,['flip.t.sol', 'cat.sol', 'vat.t.sol']
3,['flip.t.sol', 'cat.sol', 'jug.t.sol']
4,['flip.t.sol', 'cat.sol', 'flap.sol']
3,['flip.t.sol', 'fork.t.sol', 'flap.t.sol']
2,['flip.t.sol', 'fork.t.sol', 'vat.t.sol']
4,['flip.t.sol', 'fork.t.sol', 'jug.t.sol']
4,['flip.t.sol', 'fork.t.sol', 'flap.sol']
2,['flip.t.sol', 'flap.t.sol', 'vat.t.sol']
4,['flip.t.sol', 'flap.t.sol', 'jug.t.sol']
3,['flip.t.sol', 'flap.t.sol', 'flap.sol']
2,['flip.t.sol', 'vat.t.sol', 'jug.t.sol']
3,['flip.t.sol', 'vat.t.sol', 'flap.sol']
4,['flip.t.sol', 'jug.t.sol', 'flap.sol']
4,['vat.sol', 'flop.t.sol', 'jug.sol']
4,['vat.sol', 'flop.t.sol', 'cat.sol']
4,['vat.sol', 'flop.t.sol', 'fork.t.sol']
4,['vat.sol', 'flop.t.sol', 'flap.t.sol']
2,['vat.sol', 'flop.t.sol', 'vat.t.sol']
5,['vat.sol', 'flop.t.sol', 'jug.t.sol']
5,['vat.sol', 'flop.t.sol', 'flap.sol']
4,['vat.sol', 'jug.sol', 'cat.sol']
4,['vat.sol', 'jug.sol', 'fork.t.sol']
4,['vat.sol', 'jug.sol', 'flap.t.sol']
3,['vat.sol', 'jug.sol', 'vat.t.sol']
3,['vat.sol', 'jug.sol', 'jug.t.sol']
4,['vat.sol', 'jug.sol', 'flap.sol']
4,['vat.sol', 'cat.sol', 'fork.t.sol']
4,['vat.sol', 'cat.sol', 'flap.t.sol']
2,['vat.sol', 'cat.sol', 'vat.t.sol']
3,['vat.sol', 'cat.sol', 'jug.t.sol']
2,['vat.sol', 'cat.sol', 'flap.sol']
4,['vat.sol', 'fork.t.sol', 'flap.t.sol']
2,['vat.sol', 'fork.t.sol', 'vat.t.sol']
4,['vat.sol', 'fork.t.sol', 'jug.t.sol']
4,['vat.sol', 'fork.t.sol', 'flap.sol']
2,['vat.sol', 'flap.t.sol', 'vat.t.sol']
5,['vat.sol', 'flap.t.sol', 'jug.t.sol']
4,['vat.sol', 'flap.t.sol', 'flap.sol']
3,['vat.sol', 'vat.t.sol', 'jug.t.sol']
3,['vat.sol', 'vat.t.sol', 'flap.sol']
3,['vat.sol', 'jug.t.sol', 'flap.sol']
6,['flop.t.sol', 'jug.sol', 'cat.sol']
4,['flop.t.sol', 'jug.sol', 'fork.t.sol']
3,['flop.t.sol', 'jug.sol', 'flap.t.sol']
2,['flop.t.sol', 'jug.sol', 'vat.t.sol']
4,['flop.t.sol', 'jug.sol', 'jug.t.sol']
5,['flop.t.sol', 'jug.sol', 'flap.sol']
5,['flop.t.sol', 'cat.sol', 'fork.t.sol']
5,['flop.t.sol', 'cat.sol', 'flap.t.sol']
2,['flop.t.sol', 'cat.sol', 'vat.t.sol']
4,['flop.t.sol', 'cat.sol', 'jug.t.sol']
5,['flop.t.sol', 'cat.sol', 'flap.sol']
4,['flop.t.sol', 'fork.t.sol', 'flap.t.sol']
2,['flop.t.sol', 'fork.t.sol', 'vat.t.sol']
4,['flop.t.sol', 'fork.t.sol', 'jug.t.sol']
5,['flop.t.sol', 'fork.t.sol', 'flap.sol']
2,['flop.t.sol', 'flap.t.sol', 'vat.t.sol']
4,['flop.t.sol', 'flap.t.sol', 'jug.t.sol']
4,['flop.t.sol', 'flap.t.sol', 'flap.sol']
2,['flop.t.sol', 'vat.t.sol', 'jug.t.sol']
3,['flop.t.sol', 'vat.t.sol', 'flap.sol']
5,['flop.t.sol', 'jug.t.sol', 'flap.sol']
5,['jug.sol', 'cat.sol', 'fork.t.sol']
5,['jug.sol', 'cat.sol', 'flap.t.sol']
3,['jug.sol', 'cat.sol', 'vat.t.sol']
3,['jug.sol', 'cat.sol', 'jug.t.sol']
4,['jug.sol', 'cat.sol', 'flap.sol']
4,['jug.sol', 'fork.t.sol', 'flap.t.sol']
2,['jug.sol', 'fork.t.sol', 'vat.t.sol']
3,['jug.sol', 'fork.t.sol', 'jug.t.sol']
5,['jug.sol', 'fork.t.sol', 'flap.sol']
2,['jug.sol', 'flap.t.sol', 'vat.t.sol']
4,['jug.sol', 'flap.t.sol', 'jug.t.sol']
5,['jug.sol', 'flap.t.sol', 'flap.sol']
2,['jug.sol', 'vat.t.sol', 'jug.t.sol']
3,['jug.sol', 'vat.t.sol', 'flap.sol']
3,['jug.sol', 'jug.t.sol', 'flap.sol']
5,['cat.sol', 'fork.t.sol', 'flap.t.sol']
3,['cat.sol', 'fork.t.sol', 'vat.t.sol']
3,['cat.sol', 'fork.t.sol', 'jug.t.sol']
5,['cat.sol', 'fork.t.sol', 'flap.sol']
2,['cat.sol', 'flap.t.sol', 'vat.t.sol']
3,['cat.sol', 'flap.t.sol', 'jug.t.sol']
5,['cat.sol', 'flap.t.sol', 'flap.sol']
2,['cat.sol', 'vat.t.sol', 'jug.t.sol']
3,['cat.sol', 'vat.t.sol', 'flap.sol']
2,['cat.sol', 'jug.t.sol', 'flap.sol']
2,['fork.t.sol', 'flap.t.sol', 'vat.t.sol']
4,['fork.t.sol', 'flap.t.sol', 'jug.t.sol']
5,['fork.t.sol', 'flap.t.sol', 'flap.sol']
2,['fork.t.sol', 'vat.t.sol', 'jug.t.sol']
3,['fork.t.sol', 'vat.t.sol', 'flap.sol']
5,['fork.t.sol', 'jug.t.sol', 'flap.sol']
2,['flap.t.sol', 'vat.t.sol', 'jug.t.sol']
3,['flap.t.sol', 'vat.t.sol', 'flap.sol']
5,['flap.t.sol', 'jug.t.sol', 'flap.sol']
3,['vat.t.sol', 'jug.t.sol', 'flap.sol']
