similarity,combination
9,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'ERC223Receiver.sol', 'ERC20.sol', 'Token223.sol']
1,['SafeMath.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'Token223ReceiverMock.sol', 'ERC20.sol', 'Token223.sol']
3,['SafeMath.sol', 'BasicToken.sol', 'ERC20.sol', 'Token223.sol']
10,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
10,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
17,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol']
13,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol']
11,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol']
11,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
11,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol']
13,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol']
5,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC20.sol']
5,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
5,['Standard223Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
4,['Standard223Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223.sol']
7,['Standard223Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
9,['Standard223Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
9,['Standard223Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC20.sol']
6,['Standard223Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223.sol']
5,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
4,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223.sol']
7,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
9,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
9,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC20.sol']
6,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223.sol']
6,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223.sol']
14,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol']
7,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
9,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
19,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'BasicToken.sol']
12,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC20.sol']
8,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'Token223.sol']
10,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC223.sol', 'LinkToken.sol']
4,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC223.sol', 'ERC223Receiver.sol']
4,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
12,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC223.sol', 'BasicToken.sol']
11,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC223.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC223.sol', 'Token223.sol']
7,['Standard223Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
8,['Standard223Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
10,['Standard223Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'BasicToken.sol']
10,['Standard223Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'ERC20.sol']
11,['Standard223Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'Token223.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
10,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
10,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol', 'Token223.sol']
10,['Standard223Token.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
10,['Standard223Token.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
4,['Standard223Token.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
12,['Standard223Token.sol', 'LinkReceiver.sol', 'BasicToken.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'BasicToken.sol', 'Token223.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC20.sol', 'Token223.sol']
9,['Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
19,['Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223.sol']
7,['Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
10,['Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223.sol']
18,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223.sol']
9,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
10,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223.sol']
21,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC223.sol']
18,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
20,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
20,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
23,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
20,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
20,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token223.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol', 'LinkToken.sol']
7,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol', 'ERC223Receiver.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
7,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol', 'BasicToken.sol']
13,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol', 'ERC20.sol']
7,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol', 'Token223.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
11,['Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token223.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
7,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'ERC20.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
7,['Standard223Token.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
7,['Standard223Token.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'Token223.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC20.sol', 'Token223.sol']
5,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
3,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223.sol']
1,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
8,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
7,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token223.sol']
4,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223.sol']
15,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
5,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
5,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
19,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
18,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
7,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token223.sol']
4,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'LinkToken.sol']
1,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'ERC223Receiver.sol']
3,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
2,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'BasicToken.sol']
3,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'Token223.sol']
1,['Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
1,['Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
8,['Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
5,['Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'Token223.sol']
2,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
2,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
2,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'Token223.sol']
8,['Standard223Token.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
2,['Standard223Token.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
3,['Standard223Token.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'Token223.sol']
3,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC20.sol', 'Token223.sol']
4,['Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol']
15,['Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
5,['Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
5,['Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
19,['Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
16,['Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
7,['Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token223.sol']
8,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'LinkToken.sol']
1,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'ERC223Receiver.sol']
3,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
2,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'BasicToken.sol']
3,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'Token223.sol']
1,['Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
1,['Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
8,['Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
8,['Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'Token223.sol']
2,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
2,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
2,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'Token223.sol']
8,['Standard223Token.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
8,['Standard223Token.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
3,['Standard223Token.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'Token223.sol']
3,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC20.sol', 'Token223.sol']
15,['Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol']
6,['Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol', 'ERC223Receiver.sol']
6,['Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
20,['Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol', 'BasicToken.sol']
18,['Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol', 'ERC20.sol']
7,['Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol', 'Token223.sol']
15,['Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
15,['Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
20,['Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
17,['Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
16,['Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol', 'Token223.sol']
8,['Standard223Token.sol', 'StandardToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
20,['Standard223Token.sol', 'StandardToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
19,['Standard223Token.sol', 'StandardToken.sol', 'ERC223Receiver.sol', 'ERC20.sol']
9,['Standard223Token.sol', 'StandardToken.sol', 'ERC223Receiver.sol', 'Token223.sol']
19,['Standard223Token.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
18,['Standard223Token.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
8,['Standard223Token.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
24,['Standard223Token.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
19,['Standard223Token.sol', 'StandardToken.sol', 'BasicToken.sol', 'Token223.sol']
10,['Standard223Token.sol', 'StandardToken.sol', 'ERC20.sol', 'Token223.sol']
9,['Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
9,['Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
11,['Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC20.sol']
4,['Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol', 'Token223.sol']
2,['Standard223Token.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
2,['Standard223Token.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
3,['Standard223Token.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'Token223.sol']
2,['Standard223Token.sol', 'ERC223.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
2,['Standard223Token.sol', 'ERC223.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'ERC223.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
4,['Standard223Token.sol', 'ERC223.sol', 'BasicToken.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'ERC223.sol', 'BasicToken.sol', 'Token223.sol']
3,['Standard223Token.sol', 'ERC223.sol', 'ERC20.sol', 'Token223.sol']
1,['Standard223Token.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
9,['Standard223Token.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
3,['Standard223Token.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'Token223.sol']
9,['Standard223Token.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
9,['Standard223Token.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
4,['Standard223Token.sol', 'LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'LinkToken.sol', 'BasicToken.sol', 'Token223.sol']
3,['Standard223Token.sol', 'LinkToken.sol', 'ERC20.sol', 'Token223.sol']
2,['Standard223Token.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
5,['Standard223Token.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
4,['Standard223Token.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'Token223.sol']
3,['Standard223Token.sol', 'ERC223Receiver.sol', 'ERC20.sol', 'Token223.sol']
4,['Standard223Token.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'Token223.sol']
3,['Standard223Token.sol', 'Token223ReceiverMock.sol', 'ERC20.sol', 'Token223.sol']
5,['Standard223Token.sol', 'BasicToken.sol', 'ERC20.sol', 'Token223.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
10,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
11,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
10,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223.sol']
10,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
11,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
10,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223.sol']
12,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC223.sol']
12,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
10,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
12,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
13,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
11,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token223.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'LinkToken.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'ERC223Receiver.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
13,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'BasicToken.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'ERC20.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'Token223.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
10,['LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token223.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
11,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
5,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'ERC20.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223.sol']
10,['LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'Token223.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC20.sol', 'Token223.sol']
3,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223.sol']
3,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
