similarity,combination
8,['Ownable.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
11,['Ownable.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
12,['Ownable.sol', 'SmartOracle.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SmartOracle.sol', 'StandardToken.sol', 'LinkToken.sol', 'TokenSale.sol']
9,['Ownable.sol', 'SmartOracle.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
9,['Ownable.sol', 'SmartOracle.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
14,['Ownable.sol', 'SmartOracle.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
8,['Ownable.sol', 'SmartOracle.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
7,['Ownable.sol', 'SmartOracle.sol', 'LinkToken.sol', 'BasicToken.sol', 'TokenSale.sol']
11,['Ownable.sol', 'SmartOracle.sol', 'LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'SmartOracle.sol', 'LinkToken.sol', 'TokenSale.sol', 'ERC20.sol']
12,['Ownable.sol', 'SmartOracle.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
12,['Ownable.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
7,['Ownable.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
12,['Ownable.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
7,['Ownable.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
11,['Ownable.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
13,['Ownable.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
