similarity,combination
4,['Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'BasicToken.sol']
13,['Pausable.sol', 'Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol']
7,['Pausable.sol', 'Migrations.sol', 'ERC20.sol', 'BasicToken.sol']
10,['Pausable.sol', 'Migrations.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
1,['Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
8,['Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
2,['Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
16,['Pausable.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
2,['Pausable.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
13,['Pausable.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
14,['Pausable.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
6,['Pausable.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
11,['Pausable.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
13,['Pausable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
5,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
6,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
10,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
11,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'BasicToken.sol']
4,['StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
16,['StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol']
5,['StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'BasicToken.sol']
9,['StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol']
5,['StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'BasicToken.sol']
24,['StandardToken.sol', 'Migrations.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
6,['StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
18,['StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
7,['StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
12,['StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
5,['StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
27,['StandardToken.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
20,['StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
6,['StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
16,['StandardToken.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
27,['StandardToken.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
1,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
7,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
2,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
10,['Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
2,['Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
7,['Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
14,['Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
6,['Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
10,['Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
7,['Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
16,['SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
2,['SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
13,['SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
14,['Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
