similarity,combination
5,['linkERC20.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
7,['linkERC20.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
8,['linkERC20.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
5,['linkERC20.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
8,['linkERC20.sol', 'BasicTokenMock.sol', 'Token677.sol']
67,['linkERC20.sol', 'BasicTokenMock.sol', 'flattened.sol']
6,['linkERC20.sol', 'StandardTokenMock.sol', 'Migrations.sol']
6,['linkERC20.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
6,['linkERC20.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
5,['linkERC20.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
5,['linkERC20.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
6,['linkERC20.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
8,['linkERC20.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
5,['linkERC20.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
8,['linkERC20.sol', 'StandardTokenMock.sol', 'Token677.sol']
78,['linkERC20.sol', 'StandardTokenMock.sol', 'flattened.sol']
6,['linkERC20.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
8,['linkERC20.sol', 'Migrations.sol', 'linkBasicToken.sol']
5,['linkERC20.sol', 'Migrations.sol', 'ERC677Receiver.sol']
8,['linkERC20.sol', 'Migrations.sol', 'linkERC20Basic.sol']
7,['linkERC20.sol', 'Migrations.sol', 'LinkToken.sol']
6,['linkERC20.sol', 'Migrations.sol', 'linkStandardToken.sol']
6,['linkERC20.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
9,['linkERC20.sol', 'Migrations.sol', 'Token677.sol']
62,['linkERC20.sol', 'Migrations.sol', 'flattened.sol']
7,['linkERC20.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
6,['linkERC20.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
9,['linkERC20.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
