similarity,combination
6,['ERC20Basic.sol', 'ERC223BasicToken.sol', 'Token223.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
15,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223.sol']
6,['ERC20Basic.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223Basic.sol']
5,['ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223.sol']
13,['ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
8,['ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223.sol']
6,['ERC20Basic.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol']
7,['ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
7,['ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
9,['ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
7,['ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
8,['ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223Basic.sol']
5,['ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
7,['ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223.sol']
12,['ERC20Basic.sol', 'StandardToken.sol', 'ERC223.sol']
13,['ERC20Basic.sol', 'StandardToken.sol', 'NotERC223Compatible.sol']
12,['ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
11,['ERC20Basic.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
9,['ERC20Basic.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
18,['ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
12,['ERC20Basic.sol', 'StandardToken.sol', 'ERC223Basic.sol']
17,['ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
22,['ERC20Basic.sol', 'StandardToken.sol', 'Token223.sol']
8,['ERC20Basic.sol', 'ERC223.sol', 'NotERC223Compatible.sol']
10,['ERC20Basic.sol', 'ERC223.sol', 'LinkToken.sol']
7,['ERC20Basic.sol', 'ERC223.sol', 'ERC223Receiver.sol']
7,['ERC20Basic.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
8,['ERC20Basic.sol', 'ERC223.sol', 'BasicToken.sol']
9,['ERC20Basic.sol', 'ERC223.sol', 'ERC223Basic.sol']
12,['ERC20Basic.sol', 'ERC223.sol', 'ERC20.sol']
9,['ERC20Basic.sol', 'ERC223.sol', 'Token223.sol']
7,['ERC20Basic.sol', 'NotERC223Compatible.sol', 'LinkToken.sol']
7,['ERC20Basic.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol']
6,['ERC20Basic.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
4,['ERC20Basic.sol', 'NotERC223Compatible.sol', 'BasicToken.sol']
8,['ERC20Basic.sol', 'NotERC223Compatible.sol', 'ERC223Basic.sol']
3,['ERC20Basic.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
7,['ERC20Basic.sol', 'NotERC223Compatible.sol', 'Token223.sol']
8,['ERC20Basic.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
7,['ERC20Basic.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
10,['ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
10,['ERC20Basic.sol', 'LinkToken.sol', 'ERC223Basic.sol']
6,['ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
6,['ERC20Basic.sol', 'LinkToken.sol', 'Token223.sol']
5,['ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
7,['ERC20Basic.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'ERC223Receiver.sol', 'ERC223Basic.sol']
4,['ERC20Basic.sol', 'ERC223Receiver.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['ERC20Basic.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'Token223ReceiverMock.sol', 'ERC223Basic.sol']
7,['ERC20Basic.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
9,['ERC20Basic.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
8,['ERC20Basic.sol', 'BasicToken.sol', 'ERC223Basic.sol']
3,['ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'BasicToken.sol', 'Token223.sol']
12,['ERC20Basic.sol', 'ERC223Basic.sol', 'ERC20.sol']
9,['ERC20Basic.sol', 'ERC223Basic.sol', 'Token223.sol']
9,['ERC20Basic.sol', 'ERC20.sol', 'Token223.sol']
1,['ERC223BasicToken.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
5,['ERC223BasicToken.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
