similarity,combination
2,['IToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol']
3,['IToken.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol']
3,['IToken.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol']
3,['IToken.sol', 'Owned.sol', 'Token.sol', 'Finalizable.sol']
3,['IToken.sol', 'Owned.sol', 'Token.sol', 'EventDefinitions.sol']
2,['IToken.sol', 'Owned.sol', 'Token.sol', 'DummyToken.sol']
7,['IToken.sol', 'Owned.sol', 'Token.sol', 'Ledger.sol']
0,['IToken.sol', 'Owned.sol', 'Migrations.sol', 'TokenReceivable.sol']
0,['IToken.sol', 'Owned.sol', 'Migrations.sol', 'SafeMath.sol']
0,['IToken.sol', 'Owned.sol', 'Migrations.sol', 'Finalizable.sol']
1,['IToken.sol', 'Owned.sol', 'Migrations.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'Owned.sol', 'Migrations.sol', 'DummyToken.sol']
5,['IToken.sol', 'Owned.sol', 'Migrations.sol', 'Ledger.sol']
1,['IToken.sol', 'Owned.sol', 'TokenReceivable.sol', 'SafeMath.sol']
0,['IToken.sol', 'Owned.sol', 'TokenReceivable.sol', 'Finalizable.sol']
1,['IToken.sol', 'Owned.sol', 'TokenReceivable.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'Owned.sol', 'TokenReceivable.sol', 'DummyToken.sol']
6,['IToken.sol', 'Owned.sol', 'TokenReceivable.sol', 'Ledger.sol']
1,['IToken.sol', 'Owned.sol', 'SafeMath.sol', 'Finalizable.sol']
1,['IToken.sol', 'Owned.sol', 'SafeMath.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'Owned.sol', 'SafeMath.sol', 'DummyToken.sol']
6,['IToken.sol', 'Owned.sol', 'SafeMath.sol', 'Ledger.sol']
1,['IToken.sol', 'Owned.sol', 'Finalizable.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'Owned.sol', 'Finalizable.sol', 'DummyToken.sol']
6,['IToken.sol', 'Owned.sol', 'Finalizable.sol', 'Ledger.sol']
1,['IToken.sol', 'Owned.sol', 'EventDefinitions.sol', 'DummyToken.sol']
6,['IToken.sol', 'Owned.sol', 'EventDefinitions.sol', 'Ledger.sol']
6,['IToken.sol', 'Owned.sol', 'DummyToken.sol', 'Ledger.sol']
4,['IToken.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol']
3,['IToken.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol']
3,['IToken.sol', 'Token.sol', 'Migrations.sol', 'Finalizable.sol']
3,['IToken.sol', 'Token.sol', 'Migrations.sol', 'EventDefinitions.sol']
3,['IToken.sol', 'Token.sol', 'Migrations.sol', 'DummyToken.sol']
8,['IToken.sol', 'Token.sol', 'Migrations.sol', 'Ledger.sol']
4,['IToken.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol']
4,['IToken.sol', 'Token.sol', 'TokenReceivable.sol', 'Finalizable.sol']
4,['IToken.sol', 'Token.sol', 'TokenReceivable.sol', 'EventDefinitions.sol']
3,['IToken.sol', 'Token.sol', 'TokenReceivable.sol', 'DummyToken.sol']
9,['IToken.sol', 'Token.sol', 'TokenReceivable.sol', 'Ledger.sol']
3,['IToken.sol', 'Token.sol', 'SafeMath.sol', 'Finalizable.sol']
3,['IToken.sol', 'Token.sol', 'SafeMath.sol', 'EventDefinitions.sol']
3,['IToken.sol', 'Token.sol', 'SafeMath.sol', 'DummyToken.sol']
11,['IToken.sol', 'Token.sol', 'SafeMath.sol', 'Ledger.sol']
3,['IToken.sol', 'Token.sol', 'Finalizable.sol', 'EventDefinitions.sol']
3,['IToken.sol', 'Token.sol', 'Finalizable.sol', 'DummyToken.sol']
9,['IToken.sol', 'Token.sol', 'Finalizable.sol', 'Ledger.sol']
3,['IToken.sol', 'Token.sol', 'EventDefinitions.sol', 'DummyToken.sol']
9,['IToken.sol', 'Token.sol', 'EventDefinitions.sol', 'Ledger.sol']
8,['IToken.sol', 'Token.sol', 'DummyToken.sol', 'Ledger.sol']
0,['IToken.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol']
0,['IToken.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Finalizable.sol']
1,['IToken.sol', 'Migrations.sol', 'TokenReceivable.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'Migrations.sol', 'TokenReceivable.sol', 'DummyToken.sol']
6,['IToken.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Ledger.sol']
0,['IToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Finalizable.sol']
1,['IToken.sol', 'Migrations.sol', 'SafeMath.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'Migrations.sol', 'SafeMath.sol', 'DummyToken.sol']
6,['IToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ledger.sol']
1,['IToken.sol', 'Migrations.sol', 'Finalizable.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'Migrations.sol', 'Finalizable.sol', 'DummyToken.sol']
6,['IToken.sol', 'Migrations.sol', 'Finalizable.sol', 'Ledger.sol']
1,['IToken.sol', 'Migrations.sol', 'EventDefinitions.sol', 'DummyToken.sol']
6,['IToken.sol', 'Migrations.sol', 'EventDefinitions.sol', 'Ledger.sol']
6,['IToken.sol', 'Migrations.sol', 'DummyToken.sol', 'Ledger.sol']
1,['IToken.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol']
1,['IToken.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'DummyToken.sol']
4,['IToken.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Ledger.sol']
1,['IToken.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'DummyToken.sol']
5,['IToken.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'Ledger.sol']
1,['IToken.sol', 'TokenReceivable.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['IToken.sol', 'TokenReceivable.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['IToken.sol', 'TokenReceivable.sol', 'DummyToken.sol', 'Ledger.sol']
1,['IToken.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'SafeMath.sol', 'Finalizable.sol', 'DummyToken.sol']
4,['IToken.sol', 'SafeMath.sol', 'Finalizable.sol', 'Ledger.sol']
1,['IToken.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['IToken.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['IToken.sol', 'SafeMath.sol', 'DummyToken.sol', 'Ledger.sol']
1,['IToken.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['IToken.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['IToken.sol', 'Finalizable.sol', 'DummyToken.sol', 'Ledger.sol']
4,['IToken.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol']
7,['ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Token.sol']
4,['ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Migrations.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'SafeMath.sol']
6,['ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Finalizable.sol']
3,['ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'EventDefinitions.sol']
