similarity,combination
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Owned.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Token.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Migrations.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Receiver.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'TokenReceivable.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'ControllerMock.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'SafeMath.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'DummyMock.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'LedgerMock.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Finalizable.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'TokenMock.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Savings.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Sale.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Ledger.sol']
5,['IToken.sol', 'Controller.sol', 'Pausable.sol']
5,['IToken.sol', 'Controller.sol', 'Owned.sol']
4,['IToken.sol', 'Controller.sol', 'Token.sol']
4,['IToken.sol', 'Controller.sol', 'Migrations.sol']
5,['IToken.sol', 'Controller.sol', 'Receiver.sol']
5,['IToken.sol', 'Controller.sol', 'TokenReceivable.sol']
5,['IToken.sol', 'Controller.sol', 'ControllerMock.sol']
5,['IToken.sol', 'Controller.sol', 'SafeMath.sol']
5,['IToken.sol', 'Controller.sol', 'DummyMock.sol']
5,['IToken.sol', 'Controller.sol', 'LedgerMock.sol']
6,['IToken.sol', 'Controller.sol', 'Finalizable.sol']
3,['IToken.sol', 'Controller.sol', 'EventDefinitions.sol']
5,['IToken.sol', 'Controller.sol', 'TokenMock.sol']
5,['IToken.sol', 'Controller.sol', 'Savings.sol']
2,['IToken.sol', 'Controller.sol', 'DummyToken.sol']
4,['IToken.sol', 'Controller.sol', 'Sale.sol']
9,['IToken.sol', 'Controller.sol', 'Ledger.sol']
1,['IToken.sol', 'Pausable.sol', 'Owned.sol']
1,['IToken.sol', 'Pausable.sol', 'Token.sol']
0,['IToken.sol', 'Pausable.sol', 'Migrations.sol']
1,['IToken.sol', 'Pausable.sol', 'Receiver.sol']
0,['IToken.sol', 'Pausable.sol', 'TokenReceivable.sol']
1,['IToken.sol', 'Pausable.sol', 'ControllerMock.sol']
1,['IToken.sol', 'Pausable.sol', 'SafeMath.sol']
1,['IToken.sol', 'Pausable.sol', 'DummyMock.sol']
1,['IToken.sol', 'Pausable.sol', 'LedgerMock.sol']
1,['IToken.sol', 'Pausable.sol', 'Finalizable.sol']
1,['IToken.sol', 'Pausable.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'Pausable.sol', 'TokenMock.sol']
2,['IToken.sol', 'Pausable.sol', 'Savings.sol']
0,['IToken.sol', 'Pausable.sol', 'DummyToken.sol']
1,['IToken.sol', 'Pausable.sol', 'Sale.sol']
6,['IToken.sol', 'Pausable.sol', 'Ledger.sol']
1,['IToken.sol', 'Owned.sol', 'Token.sol']
0,['IToken.sol', 'Owned.sol', 'Migrations.sol']
1,['IToken.sol', 'Owned.sol', 'Receiver.sol']
0,['IToken.sol', 'Owned.sol', 'TokenReceivable.sol']
1,['IToken.sol', 'Owned.sol', 'ControllerMock.sol']
1,['IToken.sol', 'Owned.sol', 'SafeMath.sol']
1,['IToken.sol', 'Owned.sol', 'DummyMock.sol']
1,['IToken.sol', 'Owned.sol', 'LedgerMock.sol']
1,['IToken.sol', 'Owned.sol', 'Finalizable.sol']
1,['IToken.sol', 'Owned.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'Owned.sol', 'TokenMock.sol']
2,['IToken.sol', 'Owned.sol', 'Savings.sol']
0,['IToken.sol', 'Owned.sol', 'DummyToken.sol']
1,['IToken.sol', 'Owned.sol', 'Sale.sol']
6,['IToken.sol', 'Owned.sol', 'Ledger.sol']
0,['IToken.sol', 'Token.sol', 'Migrations.sol']
1,['IToken.sol', 'Token.sol', 'Receiver.sol']
0,['IToken.sol', 'Token.sol', 'TokenReceivable.sol']
1,['IToken.sol', 'Token.sol', 'ControllerMock.sol']
1,['IToken.sol', 'Token.sol', 'SafeMath.sol']
1,['IToken.sol', 'Token.sol', 'DummyMock.sol']
1,['IToken.sol', 'Token.sol', 'LedgerMock.sol']
1,['IToken.sol', 'Token.sol', 'Finalizable.sol']
1,['IToken.sol', 'Token.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'Token.sol', 'TokenMock.sol']
3,['IToken.sol', 'Token.sol', 'Savings.sol']
0,['IToken.sol', 'Token.sol', 'DummyToken.sol']
1,['IToken.sol', 'Token.sol', 'Sale.sol']
5,['IToken.sol', 'Token.sol', 'Ledger.sol']
1,['IToken.sol', 'Migrations.sol', 'Receiver.sol']
0,['IToken.sol', 'Migrations.sol', 'TokenReceivable.sol']
0,['IToken.sol', 'Migrations.sol', 'ControllerMock.sol']
0,['IToken.sol', 'Migrations.sol', 'SafeMath.sol']
1,['IToken.sol', 'Migrations.sol', 'DummyMock.sol']
0,['IToken.sol', 'Migrations.sol', 'LedgerMock.sol']
0,['IToken.sol', 'Migrations.sol', 'Finalizable.sol']
1,['IToken.sol', 'Migrations.sol', 'EventDefinitions.sol']
0,['IToken.sol', 'Migrations.sol', 'TokenMock.sol']
2,['IToken.sol', 'Migrations.sol', 'Savings.sol']
1,['IToken.sol', 'Migrations.sol', 'DummyToken.sol']
1,['IToken.sol', 'Migrations.sol', 'Sale.sol']
6,['IToken.sol', 'Migrations.sol', 'Ledger.sol']
1,['IToken.sol', 'Receiver.sol', 'TokenReceivable.sol']
1,['IToken.sol', 'Receiver.sol', 'ControllerMock.sol']
1,['IToken.sol', 'Receiver.sol', 'SafeMath.sol']
2,['IToken.sol', 'Receiver.sol', 'DummyMock.sol']
1,['IToken.sol', 'Receiver.sol', 'LedgerMock.sol']
1,['IToken.sol', 'Receiver.sol', 'Finalizable.sol']
1,['IToken.sol', 'Receiver.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'Receiver.sol', 'TokenMock.sol']
3,['IToken.sol', 'Receiver.sol', 'Savings.sol']
0,['IToken.sol', 'Receiver.sol', 'DummyToken.sol']
1,['IToken.sol', 'Receiver.sol', 'Sale.sol']
6,['IToken.sol', 'Receiver.sol', 'Ledger.sol']
0,['IToken.sol', 'TokenReceivable.sol', 'ControllerMock.sol']
1,['IToken.sol', 'TokenReceivable.sol', 'SafeMath.sol']
1,['IToken.sol', 'TokenReceivable.sol', 'DummyMock.sol']
0,['IToken.sol', 'TokenReceivable.sol', 'LedgerMock.sol']
0,['IToken.sol', 'TokenReceivable.sol', 'Finalizable.sol']
