similarity,combination
9,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'TokenSale.sol', 'ERC20.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
3,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
5,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
9,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
5,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
9,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
9,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
11,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
5,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
9,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
9,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
10,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
11,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'ERC20.sol']
9,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol', 'TokenSale.sol']
9,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
9,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
11,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
9,['Ownable.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'BasicToken.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'TokenSale.sol']
10,['Ownable.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'BasicToken.sol', 'TokenSale.sol']
11,['Ownable.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'BasicToken.sol', 'ERC20.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'TokenSale.sol', 'ERC20.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'BasicToken.sol', 'TokenSale.sol']
12,['Ownable.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
