similarity,combination
5,['LinkReceiver.sol', 'ERC677.sol', 'LinkToken.sol']
5,['LinkReceiver.sol', 'ERC677.sol', 'NotERC677Compatible.sol']
7,['LinkReceiver.sol', 'ERC677.sol', 'BasicToken.sol']
7,['LinkReceiver.sol', 'ERC677.sol', 'Token677.sol']
7,['LinkReceiver.sol', 'ERC677.sol', 'ERC20.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
10,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'Token677ReceiverMock.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'NotERC677Compatible.sol']
10,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'Token677.sol']
5,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC20.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
4,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
3,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
4,['LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
3,['LinkReceiver.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
5,['LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
3,['LinkReceiver.sol', 'BasicTokenMock.sol', 'Token677.sol']
5,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC20.sol']
4,['LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
3,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
4,['LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
3,['LinkReceiver.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
5,['LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
3,['LinkReceiver.sol', 'StandardTokenMock.sol', 'Token677.sol']
5,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC20.sol']
3,['LinkReceiver.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol']
4,['LinkReceiver.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
9,['LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol']
4,['LinkReceiver.sol', 'StandardToken.sol', 'NotERC677Compatible.sol']
6,['LinkReceiver.sol', 'StandardToken.sol', 'BasicToken.sol']
5,['LinkReceiver.sol', 'StandardToken.sol', 'Token677.sol']
6,['LinkReceiver.sol', 'StandardToken.sol', 'ERC20.sol']
4,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
4,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
3,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
6,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
5,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
6,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
5,['LinkReceiver.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
3,['LinkReceiver.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
5,['LinkReceiver.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
5,['LinkReceiver.sol', 'ERC677Receiver.sol', 'Token677.sol']
7,['LinkReceiver.sol', 'ERC677Receiver.sol', 'ERC20.sol']
4,['LinkReceiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
6,['LinkReceiver.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['LinkReceiver.sol', 'LinkToken.sol', 'Token677.sol']
7,['LinkReceiver.sol', 'LinkToken.sol', 'ERC20.sol']
5,['LinkReceiver.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
3,['LinkReceiver.sol', 'NotERC677Compatible.sol', 'Token677.sol']
6,['LinkReceiver.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
6,['LinkReceiver.sol', 'BasicToken.sol', 'Token677.sol']
9,['LinkReceiver.sol', 'BasicToken.sol', 'ERC20.sol']
7,['LinkReceiver.sol', 'Token677.sol', 'ERC20.sol']
11,['ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
11,['ERC677.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
13,['ERC677.sol', 'ERC20Basic.sol', 'StandardToken.sol']
10,['ERC677.sol', 'ERC20Basic.sol', 'Token677ReceiverMock.sol']
11,['ERC677.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol']
12,['ERC677.sol', 'ERC20Basic.sol', 'LinkToken.sol']
9,['ERC677.sol', 'ERC20Basic.sol', 'NotERC677Compatible.sol']
11,['ERC677.sol', 'ERC20Basic.sol', 'BasicToken.sol']
9,['ERC677.sol', 'ERC20Basic.sol', 'Token677.sol']
16,['ERC677.sol', 'ERC20Basic.sol', 'ERC20.sol']
3,['ERC677.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
8,['ERC677.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
