similarity,combination
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Receiver.sol', 'DummyToken.sol']
14,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Ledger.sol', 'Sale.sol']
20,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Ledger.sol', 'LedgerMock.sol']
19,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Ledger.sol', 'SavingsMock.sol']
20,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Ledger.sol', 'EventDefinitions.sol']
19,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Ledger.sol', 'Finalizable.sol']
20,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Ledger.sol', 'Pausable.sol']
20,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Ledger.sol', 'ControllerEventDefinitions.sol']
19,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Ledger.sol', 'DummyToken.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Sale.sol', 'LedgerMock.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Sale.sol', 'SavingsMock.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Sale.sol', 'EventDefinitions.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Sale.sol', 'Finalizable.sol']
