similarity,combination
5,['LinkReceiver.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
4,['LinkReceiver.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
5,['LinkReceiver.sol', 'linkBasicToken.sol', 'Token677.sol']
3,['LinkReceiver.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
3,['LinkReceiver.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
4,['LinkReceiver.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
2,['LinkReceiver.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
2,['LinkReceiver.sol', 'ERC677Receiver.sol', 'Token677.sol']
6,['LinkReceiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
10,['LinkReceiver.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
9,['LinkReceiver.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
9,['LinkReceiver.sol', 'linkERC20Basic.sol', 'Token677.sol']
8,['LinkReceiver.sol', 'LinkToken.sol', 'linkStandardToken.sol']
4,['LinkReceiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
4,['LinkReceiver.sol', 'LinkToken.sol', 'Token677.sol']
3,['LinkReceiver.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
4,['LinkReceiver.sol', 'linkStandardToken.sol', 'Token677.sol']
3,['LinkReceiver.sol', 'NotERC677Compatible.sol', 'Token677.sol']
6,['LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol']
3,['LinkERC20.sol', 'ERC677.sol', 'linkSafeMath.sol']
5,['LinkERC20.sol', 'ERC677.sol', 'BasicTokenMock.sol']
3,['LinkERC20.sol', 'ERC677.sol', 'StandardTokenMock.sol']
5,['LinkERC20.sol', 'ERC677.sol', 'Migrations.sol']
5,['LinkERC20.sol', 'ERC677.sol', 'Token677ReceiverMock.sol']
6,['LinkERC20.sol', 'ERC677.sol', 'linkBasicToken.sol']
4,['LinkERC20.sol', 'ERC677.sol', 'ERC677Receiver.sol']
6,['LinkERC20.sol', 'ERC677.sol', 'linkERC20Basic.sol']
5,['LinkERC20.sol', 'ERC677.sol', 'LinkToken.sol']
4,['LinkERC20.sol', 'ERC677.sol', 'linkStandardToken.sol']
4,['LinkERC20.sol', 'ERC677.sol', 'NotERC677Compatible.sol']
4,['LinkERC20.sol', 'ERC677.sol', 'Token677.sol']
2,['LinkERC20.sol', 'linkERC20.sol', 'linkSafeMath.sol']
3,['LinkERC20.sol', 'linkERC20.sol', 'BasicTokenMock.sol']
3,['LinkERC20.sol', 'linkERC20.sol', 'StandardTokenMock.sol']
