similarity,combination
9,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'LinkToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'Token677.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'ERC677Receiver.sol', 'Token677.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'linkERC20Basic.sol', 'Token677.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'LinkToken.sol', 'linkStandardToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'LinkToken.sol', 'Token677.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'linkStandardToken.sol', 'Token677.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol', 'NotERC677Compatible.sol', 'Token677.sol']
3,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol']
