similarity,combination
1,['Ownable.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
6,['Ownable.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
2,['Ownable.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
8,['Ownable.sol', 'BasicTokenMock.sol', 'ERC20.sol']
2,['Ownable.sol', 'BasicTokenMock.sol', 'Standard223TokenReceiverMock.sol']
5,['Ownable.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['Ownable.sol', 'StandardTokenMock.sol', 'ERC223.sol']
1,['Ownable.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['Ownable.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
6,['Ownable.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['Ownable.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
5,['Ownable.sol', 'StandardTokenMock.sol', 'ERC20.sol']
2,['Ownable.sol', 'StandardTokenMock.sol', 'Standard223TokenReceiverMock.sol']
3,['Ownable.sol', 'StandardToken.sol', 'ERC223.sol']
3,['Ownable.sol', 'StandardToken.sol', 'LinkToken.sol']
3,['Ownable.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
10,['Ownable.sol', 'StandardToken.sol', 'BasicToken.sol']
6,['Ownable.sol', 'StandardToken.sol', 'TokenSale.sol']
4,['Ownable.sol', 'StandardToken.sol', 'ERC20.sol']
3,['Ownable.sol', 'StandardToken.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'ERC223.sol', 'LinkToken.sol']
1,['Ownable.sol', 'ERC223.sol', 'ERC223Receiver.sol']
3,['Ownable.sol', 'ERC223.sol', 'BasicToken.sol']
2,['Ownable.sol', 'ERC223.sol', 'TokenSale.sol']
6,['Ownable.sol', 'ERC223.sol', 'ERC20.sol']
2,['Ownable.sol', 'ERC223.sol', 'Standard223TokenReceiverMock.sol']
2,['Ownable.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
