similarity,combination
2,['flop.sol', 'join.sol', 'flip.t.sol', 'drip.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.t.sol', 'heal.t.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'flip.t.sol', 'heal.t.sol', 'drip.sol']
3,['flop.sol', 'join.sol', 'flip.t.sol', 'heal.t.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'flip.t.sol', 'heal.t.sol', 'tune.sol']
5,['flop.sol', 'join.sol', 'flip.t.sol', 'heal.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.t.sol', 'flap.sol', 'drip.sol']
4,['flop.sol', 'join.sol', 'flip.t.sol', 'flap.sol', 'frob.t.sol']
2,['flop.sol', 'join.sol', 'flip.t.sol', 'flap.sol', 'tune.sol']
3,['flop.sol', 'join.sol', 'flip.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.t.sol', 'drip.sol', 'frob.t.sol']
2,['flop.sol', 'join.sol', 'flip.t.sol', 'drip.sol', 'tune.sol']
3,['flop.sol', 'join.sol', 'flip.t.sol', 'drip.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.t.sol', 'frob.t.sol', 'tune.sol']
4,['flop.sol', 'join.sol', 'flip.t.sol', 'frob.t.sol', 'bite.sol']
2,['flop.sol', 'join.sol', 'flip.t.sol', 'tune.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'move.sol', 'flop.t.sol', 'flap.t.sol']
4,['flop.sol', 'join.sol', 'move.sol', 'flop.t.sol', 'heal.sol']
4,['flop.sol', 'join.sol', 'move.sol', 'flop.t.sol', 'drip.t.sol']
6,['flop.sol', 'join.sol', 'move.sol', 'flop.t.sol', 'heal.t.sol']
4,['flop.sol', 'join.sol', 'move.sol', 'flop.t.sol', 'flap.sol']
5,['flop.sol', 'join.sol', 'move.sol', 'flop.t.sol', 'drip.sol']
3,['flop.sol', 'join.sol', 'move.sol', 'flop.t.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'move.sol', 'flop.t.sol', 'tune.sol']
3,['flop.sol', 'join.sol', 'move.sol', 'flop.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'move.sol', 'flap.t.sol', 'heal.sol']
5,['flop.sol', 'join.sol', 'move.sol', 'flap.t.sol', 'drip.t.sol']
6,['flop.sol', 'join.sol', 'move.sol', 'flap.t.sol', 'heal.t.sol']
4,['flop.sol', 'join.sol', 'move.sol', 'flap.t.sol', 'flap.sol']
5,['flop.sol', 'join.sol', 'move.sol', 'flap.t.sol', 'drip.sol']
3,['flop.sol', 'join.sol', 'move.sol', 'flap.t.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'move.sol', 'flap.t.sol', 'tune.sol']
4,['flop.sol', 'join.sol', 'move.sol', 'flap.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'move.sol', 'heal.sol', 'drip.t.sol']
