token,similarity,timestamp
,46,2018-02-11 16:34:06
,46,2018-02-11 18:16:26
,46,2018-03-16 16:29:34
,46,2018-03-22 17:20:33
,46,2018-03-27 17:55:04
,46,2018-03-28 10:11:10
,64,2018-03-29 11:19:13
SeeleToken, ,  
,7,2016-09-29 13:32:06
,7,2016-09-29 23:37:52
,7,2016-09-30 11:10:08
,7,2016-09-30 11:14:44
,7,2016-09-30 11:37:55
,7,2016-09-30 13:41:00
,7,2016-09-30 13:41:22
,8,2016-10-03 15:26:00
,8,2016-10-03 15:40:02
,8,2016-10-03 15:42:42
,8,2016-10-04 11:23:25
,8,2016-10-04 11:31:59
,8,2016-10-04 11:36:33
,8,2016-10-04 11:52:26
,8,2016-10-04 17:38:30
,8,2016-10-05 10:49:54
,8,2016-10-05 11:06:47
,8,2016-10-05 11:13:29
,8,2016-10-05 14:07:35
,8,2016-10-07 12:37:56
,8,2016-10-07 12:45:02
,12,2016-10-11 13:10:09
,12,2016-10-11 13:12:49
,12,2016-10-11 20:21:02
,12,2016-10-13 12:02:42
,12,2016-10-13 12:12:16
,12,2016-10-13 12:15:19
,12,2016-10-13 12:16:56
,12,2016-10-13 13:14:08
,12,2016-10-13 18:43:01
,12,2016-10-14 09:55:34
,12,2016-10-17 10:56:01
,12,2016-10-17 12:54:28
,12,2016-10-17 13:20:38
,12,2016-10-17 14:26:03
,12,2016-10-19 11:29:56
,12,2016-10-20 15:09:05
,12,2016-10-20 21:15:51
,12,2016-10-21 17:36:10
,12,2016-10-21 19:32:01
,12,2016-10-21 20:06:03
,12,2016-10-25 12:29:43
,12,2016-10-25 16:25:16
,12,2016-10-25 17:13:30
,14,2016-10-26 10:33:20
,15,2016-10-26 12:59:56
,15,2016-10-26 18:49:44
,15,2016-10-26 21:05:26
,15,2016-10-27 16:03:17
,15,2016-10-27 17:43:32
,15,2016-10-27 18:55:48
,15,2016-10-27 19:11:06
,38,2016-10-29 12:25:08
,38,2016-10-31 14:01:36
,38,2016-10-31 22:02:47
,38,2016-11-02 11:26:19
,40,2016-11-02 13:49:07
,42,2016-11-02 22:16:40
,42,2016-11-03 21:45:04
,72,2016-11-04 12:08:53
,72,2016-11-04 12:57:46
,72,2016-11-05 22:22:31
,75,2016-11-07 09:37:55
,85,2016-11-07 11:48:06
,86,2016-11-07 14:02:26
,86,2016-11-07 16:24:14
,86,2016-11-08 00:15:11
,86,2016-11-08 00:30:46
,86,2016-11-08 12:33:45
,86,2016-11-08 12:43:26
,86,2016-11-08 14:13:15
,86,2016-11-08 18:30:58
,86,2016-11-08 23:50:19
,98,2016-11-09 19:52:40
,100,2016-11-10 14:21:21
,100,2016-11-10 17:58:23
,100,2016-11-10 22:17:34
,100,2016-11-10 22:25:11
Golem, ,  
,58,2017-12-11 13:29:15
,58,2017-12-11 13:49:41
,58,2017-12-11 14:02:02
,58,2017-12-11 14:04:33
,58,2017-12-11 14:05:36
,58,2017-12-11 14:07:42
,58,2017-12-11 14:09:32
,58,2017-12-11 15:06:50
,58,2017-12-11 15:26:19
,58,2017-12-17 10:29:45
WAX-Token, ,  
,46,2017-10-03 15:26:13
,46,2017-10-04 10:44:56
,46,2017-10-04 22:33:44
,46,2017-10-04 23:14:01
,46,2017-10-05 00:15:59
,46,2017-10-05 08:49:48
,46,2017-10-05 09:06:31
,46,2017-11-21 15:14:43
,46,2017-11-21 15:36:13
,46,2018-04-16 11:00:59
,46,2018-04-16 11:01:04
,46,2018-04-16 11:01:19
,46,2018-04-16 11:01:25
,46,2018-04-16 11:06:22
,46,2018-04-16 11:07:16
,46,2018-04-16 11:10:19
,49,2018-04-18 11:43:33
,49,2018-04-18 11:52:42
,50,2018-11-15 18:09:32
,50,2018-11-15 18:09:37
,50,2018-11-15 18:10:13
,50,2018-11-16 11:59:30
,50,2018-11-16 11:59:40
,50,2018-11-16 12:02:44
,50,2018-11-16 12:02:53
,50,2019-10-28 13:57:07
,50,2019-10-28 13:59:49
RLC, ,  
,,2018-09-23 02:28:15
,,2018-09-23 10:43:35
,,2018-09-23 10:45:12
,83,2018-09-23 22:24:35
,83,2018-09-24 01:08:32
,83,2018-09-24 01:12:50
,83,2018-09-24 01:14:23
PowerLedger, ,  
,,2018-10-11 20:03:57
,39,2018-10-11 20:05:23
,39,2018-10-11 20:06:26
,39,2018-10-16 18:41:33
,39,2018-10-16 18:42:16
,39,2018-10-16 18:43:12
,39,2018-10-16 18:43:25
,39,2018-10-16 18:44:05
,39,2018-11-12 21:51:33
,39,2018-11-20 22:56:33
,39,2018-12-06 21:48:00
,39,2018-12-06 21:55:39
,39,2018-12-06 21:56:01
,39,2018-12-06 23:09:45
,39,2018-12-07 00:01:42
,39,2018-12-07 00:17:53
,39,2019-02-04 12:13:04
,95,2019-03-26 17:05:48
,95,2019-03-26 17:07:13
,99,2019-03-28 15:53:09
,99,2019-03-28 15:54:05
,99,2019-03-28 15:55:30
,100,2019-03-29 21:56:57
,100,2019-03-31 20:34:11
,100,2019-03-31 20:36:00
HEDG, ,  
,,2017-05-09 02:48:59
,,2017-05-10 21:22:58
,6,2017-05-11 11:09:16
,6,2017-05-11 12:33:30
,6,2017-05-11 19:21:56
,6,2017-05-11 22:41:09
,6,2017-05-12 17:48:59
,6,2017-05-12 18:25:34
,6,2017-05-12 18:53:05
,6,2017-05-12 20:05:15
,6,2017-05-12 21:02:12
,6,2017-05-15 21:16:44
,6,2017-05-16 15:24:47
,6,2017-05-16 17:56:18
,6,2017-05-16 22:43:43
,6,2017-05-17 15:36:33
,6,2017-05-17 17:50:47
,6,2017-05-17 19:14:08
,6,2017-05-17 19:31:08
,6,2017-05-17 20:44:49
,6,2017-05-17 21:13:21
,6,2017-05-17 21:14:19
,6,2017-05-17 21:41:40
,6,2017-05-18 18:11:31
,6,2017-05-18 20:37:30
,6,2017-05-18 21:06:02
,6,2017-05-18 21:08:58
,6,2017-05-18 21:39:59
,6,2017-05-18 21:57:47
,6,2017-05-18 22:20:04
,6,2017-05-18 22:50:43
,6,2017-05-19 13:03:50
,6,2017-05-19 13:05:07
,6,2017-05-19 13:38:08
,6,2017-05-19 13:46:57
,6,2017-05-19 14:12:58
