similarity,combination
19,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol', 'LinkToken.sol', 'linkStandardToken.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol', 'LinkToken.sol', 'Token677.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
31,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol', 'linkStandardToken.sol', 'Token677.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol', 'NotERC677Compatible.sol', 'Token677.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
