similarity,combination
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'ERC20.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC20.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'NotERC223Compatible.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
10,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'NotERC223Compatible.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'ERC223Receiver.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'BasicToken.sol']
